Interest,Skill_Level,Aptitude,Personality,Career,Education_Level,Preferred_Work_Type
Finance,Medium,85,Analytical,Financial Analyst,Bachelor,Remote
Business,Low,60,Introvert,Marketing Manager,Master,Remote
Healthcare,Medium,94,Analytical,Nurse,High School,Remote
Healthcare,Low,58,Introvert,Nurse,Master,Hybrid
Teaching,Medium,71,Introvert,Professor,High School,Hybrid
Healthcare,Medium,58,Extrovert,Doctor,Master,Remote
Business,High,72,Creative,MBA,Master,Onsite
Healthcare,Low,67,Introvert,Nurse,Bachelor,Onsite
Teaching,Low,85,Introvert,Teacher,Master,Onsite
Arts,Medium,65,Extrovert,Artist,High School,Remote
Finance,Medium,75,Introvert,Financial Analyst,Bachelor,Remote
Healthcare,Low,64,Analytical,Nurse,High School,Hybrid
Business,Low,85,Creative,MBA,Bachelor,Onsite
Design,Medium,60,Analytical,UI/UX Designer,High School,Onsite
Arts,High,56,Extrovert,Content Creator,Bachelor,Remote
Healthcare,High,80,Extrovert,Doctor,High School,Hybrid
Finance,High,86,Introvert,Financial Analyst,High School,Hybrid
Healthcare,Medium,83,Creative,Nurse,Bachelor,Hybrid
Design,Low,87,Introvert,UI/UX Designer,Bachelor,Remote
Finance,Medium,71,Analytical,Chartered Accountant,Bachelor,Remote
Coding,High,69,Introvert,AI Engineer,Master,Onsite
Arts,High,74,Introvert,Content Creator,Master,Hybrid
Design,High,53,Creative,Graphic Designer,Master,Remote
Arts,High,50,Introvert,Artist,High School,Remote
Healthcare,High,86,Analytical,Doctor,Bachelor,Remote
Business,Low,96,Analytical,MBA,Bachelor,Remote
Coding,Medium,98,Analytical,AI Engineer,Bachelor,Onsite
Teaching,Low,61,Creative,Teacher,High School,Onsite
Coding,Low,58,Introvert,Data Scientist,Bachelor,Remote
Finance,Low,89,Extrovert,Chartered Accountant,High School,Onsite
Coding,Medium,91,Creative,Software Developer,Master,Onsite
Healthcare,Medium,74,Extrovert,Doctor,Bachelor,Remote
Healthcare,Low,98,Introvert,Doctor,High School,Onsite
Design,Low,57,Creative,Graphic Designer,Bachelor,Hybrid
Teaching,High,96,Analytical,Professor,Master,Hybrid
Finance,Low,59,Introvert,Chartered Accountant,Master,Remote
Business,Medium,71,Extrovert,MBA,Master,Onsite
Finance,High,97,Extrovert,Chartered Accountant,Bachelor,Remote
Healthcare,Medium,73,Extrovert,Nurse,Bachelor,Remote
Healthcare,Low,85,Extrovert,Nurse,Bachelor,Remote
Arts,High,91,Creative,Artist,High School,Onsite
Finance,Medium,61,Creative,Chartered Accountant,Bachelor,Onsite
Arts,Medium,84,Introvert,Artist,Bachelor,Remote
Arts,Medium,78,Extrovert,Artist,Bachelor,Onsite
Healthcare,Low,71,Creative,Doctor,High School,Onsite
Finance,Medium,98,Analytical,Financial Analyst,High School,Onsite
Finance,Low,88,Analytical,Chartered Accountant,Bachelor,Remote
Teaching,Medium,95,Analytical,Teacher,High School,Hybrid
Teaching,High,59,Analytical,Teacher,Master,Remote
Arts,Low,57,Introvert,Content Creator,High School,Remote
Design,High,82,Introvert,UI/UX Designer,Master,Onsite
Design,Medium,74,Creative,Graphic Designer,Master,Onsite
Teaching,High,63,Analytical,Professor,Master,Onsite
Business,High,75,Creative,MBA,Master,Hybrid
Design,High,68,Introvert,Graphic Designer,High School,Onsite
Coding,Medium,76,Extrovert,AI Engineer,Master,Onsite
Healthcare,Low,68,Extrovert,Nurse,Bachelor,Onsite
Finance,Medium,62,Extrovert,Chartered Accountant,Master,Hybrid
Healthcare,Medium,90,Extrovert,Nurse,Master,Remote
Arts,Low,99,Analytical,Content Creator,Bachelor,Remote
Business,Low,76,Introvert,MBA,Master,Onsite
Business,Medium,69,Introvert,MBA,Bachelor,Onsite
Teaching,High,56,Extrovert,Professor,Bachelor,Onsite
